,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
473,Medicine,4002,Vanderbilt University,Jesse,,Ehrenfeld,1614103,0,zero,TEACHER,PROFESSOR,N/A
474,Biology,4002,Vanderbilt University,Brandt,,Eichman,820878,11,good,TEACHER,PROFESSOR,4.2
475,Languages,4002,Vanderbilt University,Issam,,Eido,2126951,7,good,TEACHER,PROFESSOR,4.8
476,Languages,4002,Vanderbilt University,Sara,,Eigen-Figal,498068,6,good,TEACHER,PROFESSOR,4.4
477,Mathematics,4002,Vanderbilt University,Mark,,Ellingham,1895203,9,good,TEACHER,PROFESSOR,4.6
478,History,4002,Vanderbilt University,Dyan,,Elliott,788003,4,average,TEACHER,PROFESSOR,3.0
479,Education,4002,Vanderbilt University,Emma,,Elliott,2615505,0,zero,TEACHER,PROFESSOR,N/A
480,Nursing,4002,Vanderbilt University,Bettina,,Engh,1241100,0,zero,TEACHER,PROFESSOR,N/A
481,Communication,4002,Vanderbilt University,John,,English,195549,49,good,TEACHER,PROFESSOR,4.1
482,English,4002,Vanderbilt University,Lynn,,Enterline,393864,39,good,TEACHER,PROFESSOR,3.9
483,Human Development,4002,Vanderbilt University,Karen,,Enyedy,2580813,8,good,TEACHER,PROFESSOR,3.7
484,English,4002,Vanderbilt University,Josh,,Epstein,503826,7,average,TEACHER,PROFESSOR,3.2
485,History,4002,Vanderbilt University,James,,Epstein,562081,7,good,TEACHER,PROFESSOR,4.2
486,Jewish Studies,4002,Vanderbilt University,Rebecca,,Epstein-Levi,2582898,4,good,TEACHER,PROFESSOR,5.0
487,Psychology,4002,Vanderbilt University,Aysu,,Erdemir,2190045,2,average,TEACHER,PROFESSOR,2.5
488,History,4002,Vanderbilt University,Miriam,,Erickson,2229755,2,good,TEACHER,PROFESSOR,3.5
489,Physics,4002,Vanderbilt University,David,,Ernst,2469314,1,good,TEACHER,PROFESSOR,5.0
490,Sociology,4002,Vanderbilt University,Christy,,Erving,2480382,7,good,TEACHER,PROFESSOR,5.0
491,Theater,4002,Vanderbilt University,Elizabeth,,Essin,1605248,15,good,TEACHER,PROFESSOR,4.5
492,Finance,4002,Vanderbilt University,Joseph,,Estes,2256538,3,good,TEACHER,PROFESSOR,4.3
493,Anthropology,4002,Vanderbilt University,Francisco,,Estrada-Belli,316546,25,good,TEACHER,PROFESSOR,3.6
494,Economics,4002,Vanderbilt University,Brent,,Evans,2106000,3,good,TEACHER,PROFESSOR,4.2
495,Engineering,4002,Vanderbilt University,William,Todd,Evans,2412424,6,poor,TEACHER,PROFESSOR,1.3
496,History,4002,Vanderbilt University,Adam,,Ewing,1851329,2,good,TEACHER,PROFESSOR,4.5
497,Human Development,4002,Vanderbilt University,Janet,,Eyler,1094439,2,good,TEACHER,PROFESSOR,4.8
498,Sociology,4002,Vanderbilt University,Mike,,Ezell,278457,27,average,TEACHER,PROFESSOR,3.1
499,Philosophy,4002,Vanderbilt University,Kenneth,,Faber,981355,8,good,TEACHER,PROFESSOR,4.6
500,Economics,4002,Vanderbilt University,Yariv,,Fadlon,1627514,8,good,TEACHER,PROFESSOR,4.2
501,Sociology,4002,Vanderbilt University,Amy,,Faeder,1839404,36,average,TEACHER,PROFESSOR,3.3
502,Languages,4002,Vanderbilt University,Heraldo,,Falconi,1093733,26,good,TEACHER,PROFESSOR,4.4
503,Mathematics,4002,Vanderbilt University,Victor,,Falgas,1971354,3,average,TEACHER,PROFESSOR,2.8
504,Mathematics,4002,Vanderbilt University,Victor,,Falgas-Ravry,1997985,10,average,TEACHER,PROFESSOR,3.1
505,English,4002,Vanderbilt University,Dan,,Fang,1711124,4,good,TEACHER,PROFESSOR,3.9
506,Biology,4002,Vanderbilt University,Ellen,,Fanning,1307133,0,zero,TEACHER,PROFESSOR,N/A
507,Medicine,4002,Vanderbilt University,Joseph,,Fanning,2409225,1,good,TEACHER,PROFESSOR,4.0
508,Law,4002,Vanderbilt University,Nita,,Farahany,968096,6,good,TEACHER,PROFESSOR,4.3
509,Political Science,4002,Vanderbilt University,Florence,,Faucher-King,709412,17,poor,TEACHER,PROFESSOR,2.5
510,Mathematics,4002,Vanderbilt University,Mitchell,,Faulk,2541031,11,average,TEACHER,PROFESSOR,2.9
511,Film,4002,Vanderbilt University,Jennifer,,Fay,1762503,4,good,TEACHER,PROFESSOR,4.4
512,Psychology,4002,Vanderbilt University,Lisa,,Fazio,1935790,9,good,TEACHER,PROFESSOR,4.3
513,Human Development,4002,Vanderbilt University,Heather,,Fedesco,2481907,1,good,TEACHER,PROFESSOR,5.0
514,Human Development,4002,Vanderbilt University,Kelley,Frances,Fenelon,2453188,1,good,TEACHER,PROFESSOR,5.0
515,Mathematics,4002,Vanderbilt University,Timothy,,Ferguson,1720098,4,average,TEACHER,PROFESSOR,3.4
516,Engineering,4002,Vanderbilt University,Lori,,Ferranti,2579847,1,good,TEACHER,PROFESSOR,5.0
517,Humanities,4002,Vanderbilt University,Julia,,Fesmire,353471,37,good,TEACHER,PROFESSOR,3.8
518,History,4002,Vanderbilt University,Gerald,,Figal,354515,19,good,TEACHER,PROFESSOR,4.3
519,Philosophy,4002,Vanderbilt University,Jeff,,Figwell,1892108,1,good,TEACHER,PROFESSOR,4.5
520,Languages,4002,Vanderbilt University,Elsa,,Filosa,1073027,23,good,TEACHER,PROFESSOR,4.3
521,Literature,4002,Vanderbilt University,Keegan,Cook,Finberg,2065118,4,good,TEACHER,PROFESSOR,4.5
522,Human Development,4002,Vanderbilt University,Andrew,,Finch,931007,3,good,TEACHER,PROFESSOR,4.7
523,Engineering,4002,Vanderbilt University,Pierce,Stephen,Finley,2364110,2,good,TEACHER,PROFESSOR,4.5
524,Anthropology,4002,Vanderbilt University,Edward,,Fischer,197743,24,good,TEACHER,PROFESSOR,4.4
525,Medicine,4002,Vanderbilt University,Jill,,Fisher,1491238,2,average,TEACHER,PROFESSOR,3.0
526,Languages,4002,Vanderbilt University,Clara,Jean,Fisher,2371240,1,average,TEACHER,PROFESSOR,3.0
527,Computer Science,4002,Vanderbilt University,Douglas,,Fisher,197194,24,average,TEACHER,PROFESSOR,2.5
528,Languages,4002,Vanderbilt University,Earl,,Fitz,2582033,2,good,TEACHER,PROFESSOR,4.5
529,Computer Science,4002,Vanderbilt University,Michael,,Fitzpatrick,105135,44,average,TEACHER,PROFESSOR,3.0
530,Mathematics,4002,Vanderbilt University,Justin,,Fitzpatrick,928975,22,good,TEACHER,PROFESSOR,4.9
531,Engineering,4002,Vanderbilt University,Dan,,Fleetwood,777825,16,good,TEACHER,PROFESSOR,4.5
532,Biology,4002,Vanderbilt University,sidney,,fleischer,2025037,0,zero,TEACHER,PROFESSOR,N/A
533,Social Science,4002,Vanderbilt University,Stella,,Flores,1437440,3,average,TEACHER,PROFESSOR,3.2
534,Religion,4002,Vanderbilt University,Stacey,M.,Floyd-Thomas,2009232,0,zero,TEACHER,PROFESSOR,N/A
535,Languages,4002,Vanderbilt University,Sarah,,Fluker,2620000,2,good,TEACHER,PROFESSOR,5.0
536,Music,4002,Vanderbilt University,Jim,,Foglesong,858569,6,good,TEACHER,PROFESSOR,4.6
537,Mathematics,4002,Vanderbilt University,Juraj,,Foldes,1348819,12,good,TEACHER,PROFESSOR,4.3
538,Art History,4002,Vanderbilt University,Leonard,,Folgarait,140093,85,good,TEACHER,PROFESSOR,5.0
539,Human Development,4002,Vanderbilt University,Anjali,,Forber-Pratt,2063888,10,poor,TEACHER,PROFESSOR,1.1
540,Philosophy,4002,Vanderbilt University,Andrew,,Forcehimes,1559391,10,good,TEACHER,PROFESSOR,4.5
541,Philosophy,4002,Vanderbilt University,Joan,,Forry,1235320,9,good,TEACHER,PROFESSOR,4.0
542,Mathematics,4002,Vanderbilt University,Alex,B,Fortuna,800193,0,zero,TEACHER,PROFESSOR,N/A
543,Economics,4002,Vanderbilt University,James,,Foster,973519,7,average,TEACHER,PROFESSOR,2.9
544,Management,4002,Vanderbilt University,Irene,,Foster,1056005,8,good,TEACHER,PROFESSOR,4.2
545,Languages,4002,Vanderbilt University,Timothy,,Foster,1971635,4,good,TEACHER,PROFESSOR,5.0
546,Music,4002,Vanderbilt University,Robin,,Fountain,2525229,0,zero,TEACHER,PROFESSOR,N/A
547,Anthropology,4002,Vanderbilt University,William,,Fowler,821487,24,average,TEACHER,PROFESSOR,3.4
548,Psychology,4002,Vanderbilt University,Bob,,Fox,149213,20,average,TEACHER,PROFESSOR,2.6
549,Marketing,4002,Vanderbilt University,Brian,,Fox,1746519,7,good,TEACHER,PROFESSOR,4.9
550,Engineering,4002,Vanderbilt University,Ken,,Frampton,525842,21,good,TEACHER,PROFESSOR,4.0
551,Theater,4002,Vanderbilt University,Phillip,,Franck,784949,17,good,TEACHER,PROFESSOR,4.3
552,Religious Studies,4002,Vanderbilt University,William,,Franke,353506,8,good,TEACHER,PROFESSOR,3.6
553,Management,4002,Vanderbilt University,David,,Franklin,979671,5,average,TEACHER,PROFESSOR,3.0
554,Human Development,4002,Vanderbilt University,Shannon,,Franklin,2009258,0,zero,TEACHER,PROFESSOR,N/A
555,Human Development,4002,Vanderbilt University,James,,Fraser,1631377,10,good,TEACHER,PROFESSOR,4.0
556,Social Science,4002,Vanderbilt University,Jens,,Frederiksen,570232,5,good,TEACHER,PROFESSOR,4.7
557,Economics,4002,Vanderbilt University,Andrew,,Fredrickson,2152293,0,zero,TEACHER,PROFESSOR,N/A
558,Sociology,4002,Vanderbilt University,Alexandre,,Frenette,2556410,4,good,TEACHER,PROFESSOR,5.0
559,Languages,4002,Vanderbilt University,Edward,,Friedman,390414,14,good,TEACHER,PROFESSOR,5.0
560,Philosophy,4002,Vanderbilt University,Marilyn,,Friedman,1443889,3,good,TEACHER,PROFESSOR,4.3
561,Human Development,4002,Vanderbilt University,Susan,,Friedman,1454605,8,good,TEACHER,PROFESSOR,4.6
562,Biology,4002,Vanderbilt University,Katherine,,Friedman,439749,37,good,TEACHER,PROFESSOR,4.0
563,Economics,4002,Vanderbilt University,Kathryn,,Fritzdixon,1835596,1,good,TEACHER,PROFESSOR,4.5
564,Economics,4002,Vanderbilt University,Luke,,Froeb,1396980,1,good,TEACHER,PROFESSOR,5.0
565,Languages,4002,Vanderbilt University,Marc,,Froment-Meurice,311742,7,poor,TEACHER,PROFESSOR,2.1
566,Music,4002,Vanderbilt University,Robert,,Fry,589349,68,good,TEACHER,PROFESSOR,4.3
567,Art History,4002,Vanderbilt University,Vivien,,Fryd,774532,34,average,TEACHER,PROFESSOR,2.9
568,Mathematics,4002,Vanderbilt University,GO,,Fujita,1195789,0,zero,TEACHER,PROFESSOR,N/A
569,Biology,4002,Vanderbilt University,Dan,,Funk,699684,8,good,TEACHER,PROFESSOR,4.0
570,Geomorphology & Geochronology,4002,Vanderbilt University,David,,Furbish,1696939,2,average,TEACHER,PROFESSOR,3.0
571,Business,4002,Vanderbilt University,David,,Furse,395080,11,average,TEACHER,PROFESSOR,3.0
572,Languages,4002,Vanderbilt University,Chie,,Furukawa,1559728,2,good,TEACHER,PROFESSOR,5.0
573,English,4002,Vanderbilt University,Katherine,,Fusco,873638,25,average,TEACHER,PROFESSOR,3.3
574,Philosophy,4002,Vanderbilt University,Shannon,,Fyfe,2092641,3,good,TEACHER,PROFESSOR,5.0
575,Classics,4002,Vanderbilt University,Kathy,,Gaca,127218,20,average,TEACHER,PROFESSOR,3.2
576,Economics,4002,Vanderbilt University,Lillian,,Gaeto,2605384,0,zero,TEACHER,PROFESSOR,N/A
577,Classics,4002,Vanderbilt University,George,,Gaffney,1966863,14,good,TEACHER,PROFESSOR,3.6
578,Political Science,4002,Vanderbilt University,Megan,,Gallagher,2297485,5,good,TEACHER,PROFESSOR,3.8
579,Engineering,4002,Vanderbilt University,Bob,,Galloway,778333,2,good,TEACHER,PROFESSOR,5.0
580,Engineering,4002,Vanderbilt University,Kenneth,,Galloway,2212938,1,good,TEACHER,PROFESSOR,5.0
581,Mechanical Engineering,4002,Vanderbilt University,Kevin,,Galloway,2657257,0,zero,TEACHER,PROFESSOR,N/A
582,Economics,4002,Vanderbilt University,Aaron,,Gamino,1912743,4,good,TEACHER,PROFESSOR,3.8
583,Education,4002,Vanderbilt University,Kathy,,Ganske,1550562,4,average,TEACHER,PROFESSOR,2.5
584,Psychology,4002,Vanderbilt University,Judy,,Garber,547523,3,good,TEACHER,PROFESSOR,3.7
585,Accounting,4002,Vanderbilt University,Stuart,,Garber,1665319,28,good,TEACHER,PROFESSOR,4.0
586,Languages,4002,Vanderbilt University,Alicia,Lorenzo,Garcia,490565,25,average,TEACHER,PROFESSOR,3.1
587,English,4002,Vanderbilt University,Humberto,,Garcia,1196793,9,good,TEACHER,PROFESSOR,4.2
588,Business,4002,Vanderbilt University,Tim,,Gardner,1022021,0,zero,TEACHER,PROFESSOR,N/A
589,Languages,4002,Vanderbilt University,Victoria,,Gardner,914339,38,good,TEACHER,PROFESSOR,4.3
590,Nursing,4002,Vanderbilt University,Sarah,,Gast,2608977,0,zero,TEACHER,PROFESSOR,N/A
591,Psychology,4002,Vanderbilt University,Isabel,,Gauthier,463262,78,average,TEACHER,PROFESSOR,2.7
592,Religion,4002,Vanderbilt University,Volney,,Gay,814434,2,good,TEACHER,PROFESSOR,3.8
593,Medicine,4002,Vanderbilt University,Lauren,M,Gaydosh,2478226,5,good,TEACHER,PROFESSOR,4.0
594,Human Development,4002,Vanderbilt University,Constance,,Gee,1275398,3,poor,TEACHER,PROFESSOR,2.3
595,Political Science,4002,Vanderbilt University,John,,Geer,177514,56,good,TEACHER,PROFESSOR,3.8
596,Religion,4002,Vanderbilt University,Jay,,Geller,794605,7,average,TEACHER,PROFESSOR,3.3
597,History,4002,Vanderbilt University,Gary,,Gerstle,1337123,7,good,TEACHER,PROFESSOR,4.7
598,Economics,4002,Vanderbilt University,Malcolm,,Getz,331606,48,average,TEACHER,PROFESSOR,3.1
599,Languages,4002,Vanderbilt University,Charlie,,Geyer,2254870,7,good,TEACHER,PROFESSOR,4.7
600,Economics,4002,Vanderbilt University,Hojat,,Ghandi,2070266,18,average,TEACHER,PROFESSOR,3.2
601,Economics,4002,Vanderbilt University,Hojjatallah,,Ghandi,2058521,63,good,TEACHER,PROFESSOR,3.5
602,Mechanical Engineering,4002,Vanderbilt University,Dominic,,Ghilardi,2045017,0,zero,TEACHER,PROFESSOR,N/A
603,Mathematics,4002,Vanderbilt University,Shamindra,,Ghosh,934698,12,average,TEACHER,PROFESSOR,2.8
604,Computer Science,4002,Vanderbilt University,Uttam,,Ghosh,2363308,17,good,TEACHER,PROFESSOR,4.5
605,Mathematics,4002,Vanderbilt University,Jose,,Gil-Ferez,1935780,25,average,TEACHER,PROFESSOR,3.4
606,Human Development,4002,Vanderbilt University,Leigh,,Gilchrist,904819,39,good,TEACHER,PROFESSOR,4.3
607,Anthropology,4002,Vanderbilt University,Lesley,,Gill,1543230,8,good,TEACHER,PROFESSOR,3.5
608,Geology,4002,Vanderbilt University,Jonathan,,Gilligan,415821,33,good,TEACHER,PROFESSOR,4.4
609,Philosophy,4002,Vanderbilt University,Lara,,Giordano,1998909,1,good,TEACHER,PROFESSOR,4.5
610,Engineering,4002,Vanderbilt University,Todd,,Giorgio,2657928,0,zero,TEACHER,PROFESSOR,N/A
611,Film,4002,Vanderbilt University,Sam,,Girgus,340185,27,good,TEACHER,PROFESSOR,3.5
612,Economics,4002,Vanderbilt University,Phillip,,Glandon,1558013,7,good,TEACHER,PROFESSOR,4.6
613,Political Science,4002,Vanderbilt University,Suzanne,,Globetti,1494097,25,good,TEACHER,PROFESSOR,4.8
614,Sociology,4002,Vanderbilt University,Sarah,,Glynn,1454640,0,zero,TEACHER,PROFESSOR,N/A
615,English,4002,Vanderbilt University,Teresa,,Goddu,329053,26,good,TEACHER,PROFESSOR,4.1
616,Mathematics,4002,Vanderbilt University,Michael,,Goff,1706292,5,poor,TEACHER,PROFESSOR,1.9
617,Engineering,4002,Vanderbilt University,Sanjiv,,Gokhale,153446,25,good,TEACHER,PROFESSOR,4.6
618,Computer Science,4002,Vanderbilt University,Aniruddha,,Gokhale,938344,10,average,TEACHER,PROFESSOR,3.3
619,Mathematics,4002,Vanderbilt University,Gili,,Golan,2235477,9,average,TEACHER,PROFESSOR,2.9
620,Human Development,4002,Vanderbilt University,Joanne,,Golann,2478320,0,zero,TEACHER,PROFESSOR,N/A
621,Engineering,4002,Vanderbilt University,Michael,,Goldfarb,656717,2,good,TEACHER,PROFESSOR,3.5
622,Classics,4002,Vanderbilt University,Max,,Goldman,1492406,14,good,TEACHER,PROFESSOR,4.2
623,Education,4002,Vanderbilt University,Ellen,,Goldring,1735638,1,poor,TEACHER,PROFESSOR,1.0
624,Computer Science,4002,Vanderbilt University,John,,Goldstein,1552826,0,zero,TEACHER,PROFESSOR,N/A
625,Engineering,4002,Vanderbilt University,Jesus,,Gomez-Velez,2407064,0,zero,TEACHER,PROFESSOR,N/A
626,Health Science,4002,Vanderbilt University,Gilbert,,Gonzales,2586653,3,good,TEACHER,PROFESSOR,5.0
627,Geology,4002,Vanderbilt University,Steve,,Goodbred,754327,41,good,TEACHER,PROFESSOR,4.3
628,Women's Studies,4002,Vanderbilt University,Lenn,E.,Goodman,1017764,18,poor,TEACHER,PROFESSOR,2.3
629,Political Science,4002,Vanderbilt University,Gary,,Goodman,2164953,0,zero,TEACHER,PROFESSOR,N/A
630,Economics,4002,Vanderbilt University,Andrew,,Goodman-Bacon,2329734,3,good,TEACHER,PROFESSOR,3.7
631,Economics,4002,Vanderbilt University,Alice,,Goodyear,1199640,33,good,TEACHER,PROFESSOR,4.5
632,Physics,4002,Vanderbilt University,John,,Gore,655330,14,good,TEACHER,PROFESSOR,4.1
633,American Studies,4002,Vanderbilt University,Sarah,M,Gorman,2591005,1,good,TEACHER,PROFESSOR,4.0
634,Languages,4002,Vanderbilt University,Bradley,,Gorski,2445499,2,good,TEACHER,PROFESSOR,5.0
635,English,4002,Vanderbilt University,Roy,,Gottfried,595440,30,good,TEACHER,PROFESSOR,4.6
636,Mathematics,4002,Vanderbilt University,.,,Gould,486745,12,poor,TEACHER,PROFESSOR,2.3
637,English,4002,Vanderbilt University,Rachel,,Gould,2092662,10,average,TEACHER,PROFESSOR,2.9
638,Languages,4002,Vanderbilt University,Braden,,Goveia,2373436,7,good,TEACHER,PROFESSOR,5.0
639,Mathematics,4002,Vanderbilt University,Kevin,,Grace,2655508,2,poor,TEACHER,PROFESSOR,1.5
640,Philosophy,4002,Vanderbilt University,James,,Grady,939251,9,good,TEACHER,PROFESSOR,4.3
641,Biology,4002,Vanderbilt University,Todd,,Graham,467248,37,good,TEACHER,PROFESSOR,4.1
642,Philosophy,4002,Vanderbilt University,David,,Gray,1471736,1,good,TEACHER,PROFESSOR,5.0
643,English,4002,Vanderbilt University,Ben,,Graydon,493637,8,good,TEACHER,PROFESSOR,4.6
644,History,4002,Vanderbilt University,Emily,,Greble,2352233,10,good,TEACHER,PROFESSOR,5.0
645,Physics,4002,Vanderbilt University,Victoria,,Greene,198514,14,good,TEACHER,PROFESSOR,3.6
646,Languages,4002,Vanderbilt University,Jessica,,Greenfield,2051155,7,good,TEACHER,PROFESSOR,4.3
647,Social Science,4002,Vanderbilt University,Patrick,,Greiner,2416551,8,good,TEACHER,PROFESSOR,4.3
648,Languages,4002,Vanderbilt University,Heidi,,Grek,2564039,1,good,TEACHER,PROFESSOR,4.0
649,English,4002,Vanderbilt University,Adam,,Grener,1621822,10,good,TEACHER,PROFESSOR,4.8
650,Education,4002,Vanderbilt University,Melissa,S.,Gresalfi,2120893,0,zero,TEACHER,PROFESSOR,N/A
651,Languages,4002,Vanderbilt University,Bonnie,M,Griffin,2210235,3,good,TEACHER,PROFESSOR,4.0
652,Psychology,4002,Vanderbilt University,Brian,,Griffith,184748,66,good,TEACHER,PROFESSOR,4.0
653,Human Development,4002,Vanderbilt University,Terry,,Griffith,1487193,0,zero,TEACHER,PROFESSOR,N/A
654,Human Development,4002,Vanderbilt University,Brian,,Griffith,2128070,0,zero,TEACHER,PROFESSOR,N/A
655,Medicine,4002,Vanderbilt University,Derek,,Griffith,2451417,5,good,TEACHER,PROFESSOR,4.8
656,Theater,4002,Vanderbilt University,Diana,M.,Grisanti,2176024,2,good,TEACHER,PROFESSOR,5.0
657,Engineering,4002,Vanderbilt University,William,,Grissom,2029242,0,zero,TEACHER,PROFESSOR,N/A
658,Human Development,4002,Vanderbilt University,Jason,,Grissom,2217379,2,good,TEACHER,PROFESSOR,3.5
659,Political Science,4002,Vanderbilt University,Christian,,Grose,738496,16,good,TEACHER,PROFESSOR,4.0
660,History,4002,Vanderbilt University,Matthew,,Growhoski,2176013,1,average,TEACHER,PROFESSOR,3.0
661,Psychology,4002,Vanderbilt University,Meredith,,Gruhn,2337878,4,good,TEACHER,PROFESSOR,5.0
662,Physics & Astronomy,4002,Vanderbilt University,Erika,D,Grundstrom,1898507,41,average,TEACHER,PROFESSOR,2.8
663,History,4002,Vanderbilt University,Henning,,Grunwald,933352,8,good,TEACHER,PROFESSOR,4.2
664,Geology,4002,Vanderbilt University,Guilherme,,Gualda,1240657,2,average,TEACHER,PROFESSOR,2.8
665,Engineering,4002,Vanderbilt University,Scott,,Guelcher,1496764,6,average,TEACHER,PROFESSOR,3.1
666,Anthropology,4002,Vanderbilt University,Anna,,Guengerich,2292631,3,average,TEACHER,PROFESSOR,3.0
667,Biomedical,4002,Vanderbilt University,Valerie,,Guenst,1880403,5,good,TEACHER,PROFESSOR,4.3
668,Philosophy,4002,Vanderbilt University,Lisa,,Guenther,1663802,6,good,TEACHER,PROFESSOR,4.5
669,Finance,4002,Vanderbilt University,Paul,,Guidone,1567778,1,average,TEACHER,PROFESSOR,3.0
670,Music,4002,Vanderbilt University,Jennifer,,Gunderman,527693,50,good,TEACHER,PROFESSOR,4.5
671,Business,4002,Vanderbilt University,Rita,,Gunn,2322144,7,good,TEACHER,PROFESSOR,4.6
672,Accounting,4002,Vanderbilt University,Rita,Nevada,Gunn,2327719,1,good,TEACHER,PROFESSOR,5.0
673,Philosophy,4002,Vanderbilt University,Hanna,,Gunn,2417560,1,good,TEACHER,PROFESSOR,5.0
674,Languages,4002,Vanderbilt University,Yinghui,,Guo,2437516,0,zero,TEACHER,PROFESSOR,N/A
675,Asian Studies,4002,Vanderbilt University,Yinghui,,Guo,1677824,10,good,TEACHER,PROFESSOR,4.6
676,Languages,4002,Vanderbilt University,Abdulkadir,,Gure,1809251,3,good,TEACHER,PROFESSOR,3.7
677,Mathematics,4002,Vanderbilt University,Basak,,Gurel,1514380,4,good,TEACHER,PROFESSOR,3.8
678,Physics,4002,Vanderbilt University,Alfredo,,Gurrola,2293501,9,good,TEACHER,PROFESSOR,4.6
679,Languages,4002,Vanderbilt University,Tugba,,Gursel Sevin,1336740,3,average,TEACHER,PROFESSOR,3.0
680,Economics,4002,Vanderbilt University,Federico,,Gutierrez,1961795,11,average,TEACHER,PROFESSOR,3.2
681,Psychology,4002,Vanderbilt University,Alexandria,,Hadd,2301029,3,good,TEACHER,PROFESSOR,5.0
682,Mathematics,4002,Vanderbilt University,Thomas,,Hagelbroek,1476983,1,poor,TEACHER,PROFESSOR,2.0
683,Physics,4002,Vanderbilt University,Richard,,Haglund,2654958,0,zero,TEACHER,PROFESSOR,N/A
684,English,4002,Vanderbilt University,Charlotte,,Hagood,1468586,0,zero,TEACHER,PROFESSOR,N/A
685,Jewish Studies,4002,Vanderbilt University,Mazalit,,Haim,2603495,3,good,TEACHER,PROFESSOR,5.0
686,Languages,4002,Vanderbilt University,Miriam,,Halachmi,400121,8,good,TEACHER,PROFESSOR,4.5
687,Sociology,4002,Vanderbilt University,William,,Hale,2237709,13,average,TEACHER,PROFESSOR,3.3
688,History,4002,Vanderbilt University,Leor,,Halevi,1353401,18,good,TEACHER,PROFESSOR,4.2
689,Philosophy,4002,Vanderbilt University,Joshua,,Hall,1410728,11,average,TEACHER,PROFESSOR,2.7
690,Theater,4002,Vanderbilt University,Terryl,,Hallquist,759335,7,good,TEACHER,PROFESSOR,4.7
691,Theater,4002,Vanderbilt University,Jon,,Hallquist,767814,14,good,TEACHER,PROFESSOR,4.0
692,Religion,4002,Vanderbilt University,Bushra,,Hamad,974371,10,good,TEACHER,PROFESSOR,4.4
693,Physics,4002,Vanderbilt University,Joe,,Hamilton,528328,11,poor,TEACHER,PROFESSOR,1.9
694,Computer Science,4002,Vanderbilt University,Larry,,Hamm,1622124,5,poor,TEACHER,PROFESSOR,1.9
695,Mathematics,4002,Vanderbilt University,Keaton,,Hamm,2054409,15,good,TEACHER,PROFESSOR,4.0
696,Women's Studies,4002,Vanderbilt University,Karen,,Hammer,2319010,4,good,TEACHER,PROFESSOR,4.8
697,Economics,4002,Vanderbilt University,Bob,,Hammond,931434,2,good,TEACHER,PROFESSOR,3.5
698,Health Science,4002,Vanderbilt University,Mozhdeh,A,Hamraie,1892033,2,good,TEACHER,PROFESSOR,4.5
699,Anthropology,4002,Vanderbilt University,Aimi,,Hamraie,2461115,1,good,TEACHER,PROFESSOR,5.0
700,Political Science,4002,Vanderbilt University,Donald,,Hancock,264182,27,average,TEACHER,PROFESSOR,3.5
701,Culinary Arts,4002,Vanderbilt University,Charlotte,,Hansen,800165,0,zero,TEACHER,PROFESSOR,N/A
702,Philosophy,4002,Vanderbilt University,Susan,,Hansen,1484761,0,zero,TEACHER,PROFESSOR,N/A
703,Chemistry,4002,Vanderbilt University,Timothy,,Hanusa,154893,39,good,TEACHER,PROFESSOR,3.9
704,Music,4002,Vanderbilt University,Charlene,,Harb,895889,2,good,TEACHER,PROFESSOR,4.8
705,Mathematics,4002,Vanderbilt University,Doug,,Hardin,130149,32,good,TEACHER,PROFESSOR,3.7
706,Chemistry,4002,Vanderbilt University,Alissa,,Hare,2051312,71,good,TEACHER,PROFESSOR,4.6
707,Fine Arts,4002,Vanderbilt University,Jana,,Harper,2089049,6,good,TEACHER,PROFESSOR,4.5
708,History,4002,Vanderbilt University,Joel,,Harrington,346962,15,good,TEACHER,PROFESSOR,4.3
709,Education,4002,Vanderbilt University,Alene,,Harris,280329,6,good,TEACHER,PROFESSOR,4.6
710,English,4002,Vanderbilt University,David,,Harris,1048043,0,zero,TEACHER,PROFESSOR,N/A
711,Mathematics,4002,Vanderbilt University,Jeffrey,,Harris,1319661,0,zero,TEACHER,PROFESSOR,N/A
712,Classics,4002,Vanderbilt University,Jason,R.,Harris,2440748,7,good,TEACHER,PROFESSOR,4.8
713,Psychology,4002,Vanderbilt University,Vicki,,Harris,346832,18,good,TEACHER,PROFESSOR,4.3
714,Chemistry,4002,Vanderbilt University,Eva Marie,,Harth,815930,22,good,TEACHER,PROFESSOR,3.8
715,Education,4002,Vanderbilt University,Lacey,,Hartigan,2616942,0,zero,TEACHER,PROFESSOR,N/A
716,Anthropology,4002,Vanderbilt University,T.S.,,Harvey,2285637,6,good,TEACHER,PROFESSOR,4.8
717,Computer Science,4002,Vanderbilt University,Md Kamrul,,Hasan,2667309,0,zero,TEACHER,PROFESSOR,N/A
718,Engineering,4002,Vanderbilt University,Fredrick,,Haselton,1017428,2,average,TEACHER,PROFESSOR,3.0
719,Business,4002,Vanderbilt University,Peter,,Haslag,2322506,10,good,TEACHER,PROFESSOR,4.3
720,Finance,4002,Vanderbilt University,Peter,,Haslag,2333001,0,zero,TEACHER,PROFESSOR,N/A
721,English,4002,Vanderbilt University,Mark,,Haslam,2251096,2,good,TEACHER,PROFESSOR,5.0
722,Mathematics,4002,Vanderbilt University,James,,Hateley,2553422,7,average,TEACHER,PROFESSOR,3.2
723,Education,4002,Vanderbilt University,Deborah,D,Hatton,1777635,2,poor,TEACHER,PROFESSOR,1.0
